category_ok,command_ok,comparable,completion_tokens,confidence,cost_usd,detected,error,fix_ok,keyword_score,latency_ms,model,next_command,predicted,prompt_tokens,repeat,route,safe_cmd,scenario,score
True,True,1.0,366,0.95,0.000617,True,,True,1.0,4309,qwen3-235b,kubectl get deployment payments-api -n firstcall-demo -o yaml,CrashLoop-AppError,1989,0,qwen3-235b,True,01-crashloop,1.0
True,True,1.0,382,0.95,0.000447,True,,True,1.0,5824,qwen3-235b,kubectl describe pod checkout-web-5c7b9d8f4-k8wzt -n firstcall-demo,ImagePull,1089,0,qwen3-235b,True,02-imagepull,1.0
True,False,0.6,374,0.95,0.000525,True,,True,1.0,6087,qwen3-235b,kubectl logs pod/report-worker-cd59f486-th2wx -n firstcall-demo -c worker --previous,OOMKilled,1501,0,qwen3-235b,True,03-oom,0.8
True,False,0.6,375,0.95,0.000466,True,,,1.0,7640,qwen3-235b,kubectl describe deployment/ml-batch -n firstcall-demo,Unschedulable,1204,0,qwen3-235b,True,04-unschedulable,0.8
True,True,1.0,401,0.95,0.000535,True,,True,1.0,9517,qwen3-235b,kubectl describe pod catalog-api-58fffc4469-vphrm -n firstcall-demo,ProbeFailure,1474,0,qwen3-235b,True,05-probe,1.0
True,True,1.0,300,1.0,0.000435,True,,,1.0,7059,qwen3-235b,kubectl get configmap notify-config -n firstcall-demo,ConfigMissing,1275,0,qwen3-235b,True,06-config-missing,1.0
True,False,0.6,312,0.95,0.000444,True,,True,1.0,5894,qwen3-235b,kubectl get pods -n firstcall-demo -l app=orders,ServiceSelector,1284,0,qwen3-235b,True,07-service-selector,0.8
True,True,1.0,322,0.95,0.000436,True,,,1.0,5060,qwen3-235b,kubectl get storageclass -n firstcall-demo,StoragePending,1213,0,qwen3-235b,True,08-pvc-pending,1.0
True,True,1.0,412,0.95,0.000322,True,,False,1.0,9316,qwen3-30b,kubectl describe pod payments-api-6bc9c4cdc5-p9zgr -n firstcall-demo,CrashLoop-AppError,1989,0,qwen3-30b,True,01-crashloop,1.0
True,False,0.6,303,0.95,0.0002,True,,True,1.0,8502,qwen3-30b,kubectl get imagepolicy -n firstcall-demo,ImagePull,1089,0,qwen3-30b,True,02-imagepull,0.8
True,True,1.0,419,0.95,0.000276,True,,True,1.0,18341,qwen3-30b,kubectl describe pod report-worker-cd59f486-th2wx -n firstcall-demo,OOMKilled,1501,0,qwen3-30b,True,03-oom,1.0
True,True,1.0,340,0.95,0.000222,True,,,1.0,9615,qwen3-30b,kubectl describe node vm -n firstcall-demo,Unschedulable,1204,0,qwen3-30b,True,04-unschedulable,1.0
True,True,1.0,440,0.95,0.000279,True,,True,1.0,14720,qwen3-30b,kubectl describe pod catalog-api-58fffc4469-vphrm -n firstcall-demo,ProbeFailure,1474,0,qwen3-30b,True,05-probe,1.0
